transaction,txTime (ms),propagationTime (ms)
1364,5030,2
1365,4031,587
1366,5042,3
1367,5034,3
1368,5033,4
1369,5028,3
1370,5031,3
1371,5046,3
1372,5023,2
1373,5026,2
1374,5027,2
1375,5035,2
1376,5022,2
1377,4030,587
1378,5042,4
1379,5033,8
1380,5028,3
1381,5036,4
1382,5037,3
1383,5032,3
1384,5031,3
1385,5048,2
1386,5026,2
1387,5027,3
1388,4026,594
1389,5044,3
1390,5027,2
1391,5029,3
1392,5027,3
1393,5035,3
1394,5026,3
1395,5046,2
1396,5026,3
1397,5028,2
1398,5029,3
1399,5032,2
1400,4026,609
1401,5046,3
1402,5031,3
1403,5029,3
1404,5028,2
1405,5029,3
1406,5039,5
1407,5031,3
1408,5033,3
1409,5040,3
1410,5028,2
1411,4032,604
1412,5026,3
1413,5029,2
1414,5040,2
1415,5027,3
1416,5028,3
1417,5029,4
1418,5033,2
1419,5027,3
1420,5032,3
1421,5029,2
1422,5034,2
1423,4026,596
1424,5040,3
1425,5029,3
1426,5028,3
1427,5025,2
1428,5031,4
1429,5038,4
1430,5043,3
1431,5030,2
1432,5025,2
1433,5027,3
1434,5029,2
1435,4026,599
1436,5028,3
1437,5028,3
1438,5029,3
1439,5022,2
1440,5031,3
1441,5027,3
1442,5033,2
1443,5028,2
1444,5029,3
1445,5028,2
1446,5027,2
1447,5030,3
1448,4026,619
1449,5033,3
1450,5025,3
1451,5025,2
1452,5030,2
1453,5032,4
1454,5033,3
1455,5029,2
1456,5031,2
1457,5029,3
1458,5033,3
1459,5026,3
1460,4029,607
1461,5031,2
1462,5031,2
1463,5030,3
1464,5023,4
1465,5039,3
1466,5033,3
1467,5044,3
1468,5032,3
1469,5048,3
1470,4033,622
1471,5042,3
1472,5045,2
1473,5028,3
1474,5050,3
1475,5040,3
1476,5033,3
1477,5028,3
1478,5034,3
1479,5026,3
1480,4035,618
1481,5041,2
1482,5037,3
1483,5030,3
1484,5035,3
1485,5030,3
1486,5037,16
1487,5030,3
1488,5030,6
1489,5033,2
1490,4036,608
1491,5029,3
1492,5049,2
1493,5033,2
1494,5030,2
1495,5029,3
1496,5042,2
1497,5033,4
1498,5033,4
1499,5043,2
1500,4033,624
1501,5067,3
1502,5027,3
1503,5029,3
1504,5026,3
1505,5031,3
1506,5029,2
1507,5031,3
1508,5025,3
1509,5029,3
1510,5025,3
1511,4042,590
1512,5047,3
1513,5027,2
1514,5034,2
1515,5027,3
1516,5052,2
1517,5029,2
1518,5030,2
1519,5028,3
1520,5037,3
1521,5028,3
1522,4030,620
1523,5032,3
1524,5024,5
1525,5028,3
1526,5032,3
1527,5028,2
1528,5031,2
1529,5029,3
1530,5045,4
1531,5035,3
1532,5031,4
1533,4028,620
1534,5038,3
1535,5030,3
1536,5025,3
1537,5028,2
1538,5024,3
1539,5033,2
1540,5029,2
1541,5042,3
1542,5027,3
1543,5044,3
1544,4026,615
1545,5032,3
1546,5036,2
1547,5026,3
1548,5050,3
1549,5029,3
1550,5034,2
1551,5035,2
1552,5032,3
1553,5025,2
1554,5030,4
1555,4031,606
1556,5032,2
1557,5029,3
1558,5033,3
1559,5023,3
1560,5039,8
1561,5032,3
1562,5034,6
1563,5035,3
1564,5030,2
1565,5026,3
1566,4033,616
1567,5036,2
1568,5026,6
1569,5029,3
1570,5030,2
1571,5030,3
1572,5043,2
1573,5026,3
1574,5030,3
1575,5029,3
1576,5030,2
1577,5025,2
1578,4029,606
1579,5039,3
1580,5038,2
1581,5033,2
1582,5026,3
1583,5025,2
1584,5035,2
1585,5025,2
1586,5030,2
1587,5030,3
1588,5037,2
1589,5026,2
1590,4028,631
1591,5030,2
1592,5028,3
1593,5036,2
1594,5031,3
1595,5027,2
1596,5031,3
1597,5025,3
1598,5035,3
1599,5030,2
1600,5043,3
1601,4023,593
1602,5051,16
1603,5028,2
1604,5025,5
1605,5028,3
1606,5029,3
1607,5025,3
1608,5038,2
1609,5031,2
1610,5038,3
1611,5027,3
1612,4045,604
1613,5035,3
1614,5028,3
1615,5027,3
1616,5046,3
1617,5023,3
1618,5031,3
1619,5027,2
1620,5036,3
1621,5036,2
1622,5032,3
1623,4028,613
1624,5039,2
1625,5032,3
1626,5034,3
1627,5026,2
1628,5026,3
1629,5040,3
1630,5027,3
1631,5031,4
1632,5028,3
1633,5037,3
1634,5021,3
1635,4031,592
1636,5039,3
1637,5023,3
1638,5031,2
1639,5029,3
1640,5029,2
1641,5025,2
1642,5046,3
1643,5027,2
1644,5027,3
1645,5030,3
1646,5031,3
1647,4028,598
1648,5031,2
1649,5031,2
1650,5032,4
1651,5029,3
1652,5030,3
1653,5029,3
1654,5031,3
1655,5027,2
1656,5045,2
1657,5030,3
1658,5028,3
1659,4025,620
1660,5046,3
1661,5030,2
1662,5029,3
1663,5028,3
1664,5029,2
1665,5034,3
1666,5024,2
1667,5031,4
1668,5026,3
1669,5051,112
1670,4039,486
1671,5055,3
1672,5037,3
1673,5045,2
1674,5026,3
1675,5029,4
1676,5028,3
1677,5032,3
1678,5029,3
1679,5030,3
1680,5029,3
1681,4032,590
1682,5050,3
1683,5028,6
1684,5031,3
1685,5033,2
1686,5025,2
1687,5029,3
1688,5034,3
1689,5025,3
1690,5032,2
1691,5027,4
1692,4032,623
1693,5042,3
1694,5032,3
1695,5029,3
1696,5027,3
1697,5033,3
1698,5027,3
1699,5031,3
1700,5040,2
1701,5026,3
1702,5037,2
1703,4028,612
1704,5043,3
1705,5032,3
1706,5026,2
1707,5031,2
1708,5030,2
1709,5048,3
1710,5024,2
1711,5035,2
1712,5021,3
1713,5028,2
1714,5024,3
1715,4029,606
1716,5030,2
1717,5027,3
1718,5032,2
1719,5045,2
1720,5027,2
1721,5033,3
1722,5025,5
1723,5033,2
1724,5028,3
1725,5032,3
1726,5034,2
1727,4034,605
1728,5035,2
1729,5032,3
1730,5029,2
1731,5032,3
1732,5032,2
1733,5028,2
1734,5035,2
1735,5025,3
1736,5030,3
1737,5028,3
1738,4028,644
1739,5033,2
1740,5028,4
1741,5028,3
1742,5033,4
1743,5025,2
1744,5029,3
1745,5027,3
1746,5031,2
1747,5042,13
1748,4057,605
1749,5035,3
1750,5028,2
1751,5044,3
1752,5029,3
1753,5025,3
1754,5031,3
1755,5036,3
1756,5030,3
1757,5026,2
1758,5032,3
1759,5029,3
1760,4041,578
1761,5032,2
1762,5043,4
1763,5032,3
1764,5028,3
1765,5030,2
1766,5031,2
1767,5026,3
1768,5027,3
1769,5028,4
1770,5033,2
1771,5023,3
1772,4043,591
1773,5037,2
1774,5025,3
1775,5043,3
1776,5024,2
1777,5031,2
1778,5034,3
1779,5025,3
1780,5033,3
1781,5026,3
1782,5030,2
1783,5022,3
1784,4041,608
1785,5033,3
1786,5031,2
1787,5025,3
1788,5038,3
1789,5028,2
1790,5031,3
1791,5022,3
1792,5031,3
1793,5026,3
1794,5027,2
1795,5030,2
1796,4030,632
1797,5046,2
1798,5030,2
1799,5026,2
1800,5036,3
1801,5032,3
1802,5030,5
1803,5042,4
1804,5040,3
1805,5030,2
1806,4031,601
1807,5045,2
1808,5026,2
1809,5032,3
1810,5029,3
1811,5029,3
1812,5026,2
1813,5030,3
1814,5025,2
1815,5028,2
1816,5027,3
1817,5025,3
1818,5034,3
1819,4023,592
1820,5043,2
1821,5026,3
1822,5036,3
1823,5028,3
1824,5036,2
1825,5049,2
1826,5024,3
1827,5027,3
1828,5025,3
1829,5036,2
1830,5024,4
1831,4029,584
1832,5042,6
1833,5031,3
1834,5026,3
1835,5026,3
1836,5034,3
1837,5025,6
1838,5039,3
1839,5030,3
1840,5034,2
1841,5030,3
1842,5026,3
1843,4030,603
1844,5028,2
1845,5035,3
1846,5026,3
1847,5030,3
1848,5027,3
1849,5031,2
1850,5026,2
1851,5029,3
1852,5025,2
1853,5052,2
